Countries,Average GDP per Capita,Connections
Gabon + United Kingdom,26330,3
Estonia + United Kingdom,34230,3
Guyana + United Kingdom,25120,3
Gambia + Spain,15230,3
Guinea + Spain,15425,3
Guinea-Bissau + Spain,15350,3
Saint Lucia + Spain,20165,3
Spain + Uruguay,23500,3
Belize + Spain,17205,3
Honduras + Spain,16210,3
Armenia + Spain,17220,3
Kazakhstan + Spain,19475,3
Kuwait + Spain,31820,3
Bahrain + Spain,26090,3
Albania + Spain,18020,3
Bolivia + Spain,16775,3
Spain + Uganda,15370,3
Bermuda + Spain,75855,3
Luxembourg + Spain,70440,3
Jersey + Spain,42175,3
Congo (Kinshasa) + Spain,15265,3
Mauritania + Spain,15640,3
Cape Verde + Spain,16605,3
Estonia + Spain,26730,3
Cyprus + Nigeria,12925,3
Cyprus + Singapore,53820,3
Cyprus + Japan,31945,3
Cyprus + Vietnam,13170,3
Cyprus + South Korea,28180,3
Cyprus + Mexico,16450,3
Cuba + Cyprus,16260,3
Cyprus + Tanzania,12385,3
Armenia + Cyprus,14055,3
Cyprus + Tajikistan,12315,3
Cyprus + Kazakhstan,16310,3
Cyprus + Libya,15460,3
Cyprus + Kuwait,28655,3
Cyprus + Uganda,12205,3
Angola + Cyprus,13180,3
Cyprus + Maldives,16740,3
Egypt + Sierra Leone,2025,3
Djibouti + Egypt,2690,3
Australia + Egypt,29190,3
Croatia + Egypt,9340,3
Dominican Republic + Egypt,5805,3
Argentina + Egypt,6695,3
Cuba + Egypt,6165,3
Brunei + Egypt,16625,3
Egypt + Tajikistan,2220,3
Egypt + Iran,4440,3
Bahrain + Egypt,12830,3
Egypt + Sri Lanka,3785,3
Albania + Egypt,4760,3
Egypt + Luxembourg,57180,3
Philippines + Sweden,27910,3
Sierra Leone + Sweden,26525,3
Sweden + Venezuela,27370,3
Antigua and Barbuda + Sweden,35770,3
Pakistan + Sweden,26900,3
Panama + Sweden,33985,3
Sweden + Tanzania,26790,3
Brunei + Sweden,41125,3
Armenia + Sweden,28460,3
Jamaica + Sweden,28815,3
Sweden + Trinidad and Tobago,34515,3
Kazakhstan + Sweden,30715,3
Sri Lanka + Sweden,28285,3
Albania + Sweden,29260,3
Sweden + Uganda,26610,3
Barbados + Sweden,35490,3
Luxembourg + Sweden,81680,3
Jersey + Sweden,53415,3
Estonia + Sweden,37970,3
Cambodia + Finland,25765,3
Finland + Venezuela,26085,3
Finland + Uzbekistan,25780,3
Antigua and Barbuda + Finland,34485,3
Finland + Panama,32700,3
Finland + Indonesia,26910,3
Finland + Jamaica,27530,3
Finland + Trinidad and Tobago,33230,3
Finland + Iran,27655,3
Finland + Libya,28580,3
Albania + Finland,27975,3
Finland + Uganda,25325,3
Barbados + Finland,34205,3
Finland + Luxembourg,80395,3
Finland + Jersey,52130,3
Estonia + Finland,36685,3
Norway + Sierra Leone,37530,3
Norway + Venezuela,38375,3
Antigua and Barbuda + Norway,46775,3
Bangladesh + Norway,38290,3
Norway + Panama,44990,3
Armenia + Norway,39465,3
Jamaica + Norway,39820,3
Norway + Trinidad and Tobago,45520,3
Kuwait + Norway,54065,3
Albania + Norway,40265,3
Barbados + Norway,46495,3
Luxembourg + Norway,92685,3
Jersey + Norway,64420,3
Mauritius + Norway,42995,3
Estonia + Norway,48975,3
Norway + Slovakia,46970,3
Gambia + United States,32600,3
Guinea + United States,32795,3
Cambodia + United States,33180,3
Dominica + United States,36295,3
Oman + United States,40115,3
Tanzania + United States,32920,3
Macau + United States,36665,3
Armenia + United States,34590,3
Guam + United States,50380,3
Kazakhstan + United States,36845,3
Iran + United States,35070,3
United States + Virgin Islands,53135,3
Sri Lanka + United States,34415,3
Albania + United States,35390,3
Bermuda + United States,93225,3
Cayman Islands + United States,85025,3
Luxembourg + United States,87810,3
Jersey + United States,59545,3
Ethiopia + United States,32775,3
Gabon + United States,36200,3
Mauritania + United States,33010,3
United States + Zambia,33000,3
Guyana + United States,34990,3
Kenya + Philippines,2550,3
Pakistan + Philippines,2330,3
Philippines + South Africa,4595,3
Guam + Philippines,19680,3
Maldives + Philippines,6575,3
Gambia + United Arab Emirates,21515,3
Guinea + United Arab Emirates,21710,3
Djibouti + United Arab Emirates,22235,3
Somalia + United Arab Emirates,21340,3
Bahamas + United Arab Emirates,36805,3
United Arab Emirates + Venezuela,22415,3
Guadeloupe + United Arab Emirates,32635,3
Martinique + United Arab Emirates,33395,3
Saint Lucia + United Arab Emirates,26450,3
Oman + United Arab Emirates,29030,3
Afghanistan + United Arab Emirates,21560,3
Pakistan + United Arab Emirates,21945,3
Chile + United Arab Emirates,29820,3
Guam + United Arab Emirates,39295,3
Kyrgyzstan + United Arab Emirates,21945,3
Bahrain + United Arab Emirates,32375,3
Albania + United Arab Emirates,24305,3
Bermuda + United Arab Emirates,82140,3
El Salvador + United Arab Emirates,23395,3
Luxembourg + United Arab Emirates,76725,3
Jersey + United Arab Emirates,48460,3
Ethiopia + United Arab Emirates,21690,3
Congo (Brazzaville) + United Arab Emirates,22325,3
Gabon + United Arab Emirates,25115,3
Mauritania + United Arab Emirates,21925,3
Brazil + Sierra Leone,4580,3
Brazil + Thailand,8235,3
Brazil + Singapore,46280,3
Australia + Brazil,31745,3
Brazil + Vietnam,5630,3
Brazil + Croatia,11895,3
Brazil + Saint Lucia,9460,3
Bangladesh + Brazil,5340,3
Brazil + Serbia,8040,3
Brazil + Honduras,5505,3
Brazil + Haiti,4755,3
Brazil + Kuwait,21115,3
Bermuda + Brazil,65150,3
Brazil + Luxembourg,59735,3
Brazil + Congo (Kinshasa),4560,3
Brazil + Congo (Brazzaville),5335,3
Brazil + Maldives,9200,3
Kenya + Nigeria,1970,3
Nigeria + Thailand,5030,3
Nigeria + Singapore,43075,3
Nigeria + Taiwan,14920,3
Malaysia + Nigeria,6655,3
Nigeria + Venezuela,2220,3
Dominican Republic + Nigeria,5155,3
Bangladesh + Nigeria,2135,3
Hungary + Nigeria,9790,3
Latvia + Nigeria,10300,3
Moldova + Nigeria,3335,3
Nigeria + Romania,7470,3
Kuwait + Nigeria,17910,3
Nigeria + Qatar,266265,3
Bulgaria + Nigeria,5945,3
Luxembourg + Nigeria,56530,3
Congo (Kinshasa) + Nigeria,1355,3
Central African Republic + Nigeria,1310,3
Congo (Brazzaville) + Nigeria,2130,3
Mauritius + Nigeria,6840,3
Mauritania + Nigeria,1730,3
Cameroon + Liberia,1140,3
Belgium + Liberia,23380,3
Algeria + Liberia,2330,3
Gabon + Liberia,4165,3
Gambia + Guinea,655,3
Gambia + Guinea-Bissau,580,3
Belgium + Gambia,23275,3
Algeria + Gambia,2225,3
Cape Verde + Gambia,1835,3
Guinea + Sierra Leone,710,3
Guinea-Bissau + Sierra Leone,635,3
Cameroon + Sierra Leone,1090,3
Canada + Sierra Leone,23050,3
Saudi Arabia + Sierra Leone,11565,3
Germany + Sierra Leone,23480,3
Netherlands + Sierra Leone,26865,3
Sierra Leone + Turkey,4810,3
Portugal + Sierra Leone,11805,3
Denmark + Sierra Leone,30800,3
Angola + Sierra Leone,1630,3
Lebanon + Sierra Leone,4500,3
Mauritania + Sierra Leone,925,3
Cape Verde + Sierra Leone,1890,3
Cameroon + Guinea,1230,3
Belgium + Guinea,23470,3
Guinea + Mauritania,1065,3
Cape Verde + Guinea,2030,3
Guinea-Bissau + Mauritania,990,3
Cape Verde + Guinea-Bissau,1955,3
Cameroon + Canada,23570,3
Cameroon + Germany,24000,3
Cameroon + Portugal,12325,3
Cameroon + Denmark,31320,3
Cameroon + Central African Republic,1025,3
Cameroon + Congo (Brazzaville),1845,3
Cameroon + Mauritania,1445,3
Cambodia + Canada,23575,3
Burma + Canada,23460,3
Canada + Nicaragua,23750,3
Canada + Tanzania,23315,3
Canada + Macau,27060,3
Canada + Paraguay,25710,3
Belize + Canada,24970,3
Canada + Guam,40775,3
Canada + Tajikistan,23245,3
Canada + Iran,25465,3
Bermuda + Canada,83620,3
Canada + Cayman Islands,75420,3
Canada + Luxembourg,78205,3
Canada + Jersey,49940,3
Canada + Lithuania,32410,3
Canada + Congo (Kinshasa),23030,3
Canada + Guyana,25385,3
Djibouti + Saudi Arabia,12230,3
Djibouti + Kenya,1830,3
Djibouti + Hong Kong,25085,3
Djibouti + Malaysia,6515,3
Djibouti + Germany,24145,3
Djibouti + Netherlands,27530,3
Djibouti + Morocco,2560,3
Djibouti + Turkey,5475,3
Djibouti + India,2010,3
Burma + Saudi Arabia,11975,3
Croatia + Saudi Arabia,18880,3
Dominican Republic + Saudi Arabia,15345,3
Oman + Saudi Arabia,19025,3
Nepal + Saudi Arabia,11795,3
Argentina + Saudi Arabia,16235,3
Cuba + Saudi Arabia,15705,3
Saudi Arabia + Serbia,15025,3
Saudi Arabia + Tanzania,11830,3
Georgia + Saudi Arabia,13495,3
Saudi Arabia + Tajikistan,11760,3
Bahrain + Saudi Arabia,22370,3
Saudi Arabia + Uganda,11650,3
Luxembourg + Saudi Arabia,66720,3
Ethiopia + Saudi Arabia,11685,3
Kenya + Somalia,935,3
Burma + Kenya,1575,3
Croatia + Kenya,8480,3
Kenya + Pakistan,1540,3
Hungary + Kenya,9580,3
Kenya + Tunisia,2575,3
Brunei + Kenya,15765,3
Georgia + Kenya,3095,3
Kenya + Tajikistan,1360,3
Kenya + Ukraine,2710,3
Kenya + Moldova,3125,3
Kenya + Romania,7260,3
Bahrain + Kenya,11970,3
Kenya + Sri Lanka,2925,3
Bulgaria + Kenya,5735,3
Kenya + Malta,16360,3
Ethiopia + Kenya,1285,3
Burundi + Kenya,1035,3
Kenya + Zimbabwe,1590,3
Kenya + Lebanon,5095,3
Oman + Thailand,11685,3
Afghanistan + Thailand,4215,3
Pakistan + Thailand,4600,3
Serbia + Thailand,7685,3
Thailand + Tunisia,5635,3
Tanzania + Thailand,4490,3
Guam + Thailand,21950,3
Kazakhstan + Thailand,8415,3
Moldova + Thailand,6185,3
Bahrain + Thailand,15030,3
Thailand + Uganda,4310,3
New Zealand + Thailand,24135,3
Ethiopia + Thailand,4345,3
Lithuania + Thailand,13585,3
Lebanon + Thailand,8155,3
Thailand + Zambia,4570,3
Croatia + Singapore,49585,3
Morocco + Singapore,43595,3
Oman + Singapore,49730,3
Pakistan + Singapore,42645,3
Hungary + Singapore,50685,3
Latvia + Singapore,51195,3
Guam + Singapore,59995,3
Singapore + Tajikistan,42465,3
Singapore + Ukraine,43815,3
Jordan + Singapore,44175,3
Bahrain + Singapore,53075,3
Bulgaria + Singapore,46840,3
New Zealand + Singapore,62180,3
Malta + Singapore,57465,3
Ethiopia + Singapore,42390,3
Lebanon + Singapore,46200,3
Australia + Morocco,29060,3
Australia + Israel,49190,3
Australia + Nepal,27965,3
Australia + Mexico,32065,3
Australia + Pakistan,28110,3
Algeria + Australia,29445,3
Australia + Ireland,66180,3
Australia + Poland,35280,3
Australia + Macau,31745,3
Australia + Tajikistan,27930,3
Australia + Jordan,29640,3
Australia + Ethiopia,27855,3
Bahamas + China,20540,3
China + Guadeloupe,16370,3
China + Martinique,17130,3
China + Saint Lucia,10185,3
China + Oman,12765,3
China + Costa Rica,11010,3
Afghanistan + China,5295,3
China + Pakistan,5680,3
China + Guam,23030,3
China + Kyrgyzstan,5680,3
Bahrain + China,16110,3
China + Uganda,5390,3
Bermuda + China,65875,3
China + Luxembourg,60460,3
China + Ethiopia,5425,3
China + Congo (Kinshasa),5285,3
Bahamas + Hong Kong,39655,3
Hong Kong + Venezuela,25265,3
Guadeloupe + Hong Kong,35485,3
Hong Kong + Martinique,36245,3
Hong Kong + Saint Lucia,29300,3
Hong Kong + Pakistan,24795,3
Hong Kong + Serbia,27880,3
Hong Kong + Tanzania,24685,3
Chile + Hong Kong,32670,3
Armenia + Hong Kong,26355,3
Guam + Hong Kong,42145,3
Hong Kong + Kazakhstan,28610,3
Hong Kong + Iran,26835,3
Hong Kong + Uganda,24505,3
Hong Kong + New Zealand,44330,3
Bermuda + Hong Kong,84990,3
Hong Kong + Luxembourg,79575,3
Hong Kong + Zambia,24765,3
Croatia + Japan,27710,3
Bahamas + Japan,35630,3
Antigua and Barbuda + Japan,29640,3
Guadeloupe + Japan,31460,3
Japan + Martinique,32220,3
Japan + Saint Lucia,25275,3
Japan + Nepal,20625,3
Costa Rica + Japan,26100,3
Japan + Pakistan,20770,3
Japan + Tunisia,21805,3
Georgia + Japan,22325,3
Guam + Japan,38120,3
Jamaica + Japan,22685,3
Japan + Trinidad and Tobago,28385,3
Japan + Tajikistan,20590,3
Iran + Japan,22810,3
Japan + Libya,23735,3
Japan + Moldova,22355,3
Japan + Romania,26490,3
Bahrain + Japan,31200,3
Japan + New Zealand,40305,3
Bermuda + Japan,80965,3
Barbados + Japan,29360,3
El Salvador + Japan,22220,3
Japan + Luxembourg,75550,3
Ethiopia + Japan,20515,3
Antigua and Barbuda + Taiwan,23360,3
Guadeloupe + Taiwan,25180,3
Martinique + Taiwan,25940,3
Nepal + Taiwan,14345,3
Cuba + Taiwan,18255,3
Pakistan + Taiwan,14490,3
Czech Republic + Taiwan,25420,3
Taiwan + Tunisia,15525,3
Taiwan + Tanzania,14380,3
Chile + Taiwan,22365,3
Guam + Taiwan,31840,3
Jamaica + Taiwan,16405,3
Taiwan + Trinidad and Tobago,22105,3
Taiwan + Tajikistan,14310,3
Kuwait + Taiwan,30650,3
Barbados + Taiwan,23080,3
Malta + Taiwan,29310,3
Ethiopia + Taiwan,14235,3
Angola + Taiwan,15175,3
Croatia + Malaysia,13165,3
Malaysia + Oman,13310,3
Malaysia + Pakistan,6225,3
Hungary + Malaysia,14265,3
Malaysia + Tunisia,7260,3
Malaysia + Tanzania,6115,3
Georgia + Malaysia,7780,3
Guam + Malaysia,23575,3
Malaysia + Tajikistan,6045,3
Malaysia + Ukraine,7395,3
Libya + Malaysia,9190,3
Malaysia + Moldova,7810,3
Malaysia + Romania,11945,3
Bahrain + Malaysia,16655,3
Bulgaria + Malaysia,10420,3
Malaysia + Uganda,5935,3
Malaysia + New Zealand,25760,3
Malaysia + Malta,21045,3
Lebanon + Malaysia,9780,3
Cambodia + Netherlands,27390,3
Morocco + Vietnam,2945,3
Belgium + Vietnam,24380,3
Israel + Vietnam,23075,3
Greece + Vietnam,11520,3
Ireland + Vietnam,40065,3
Portugal + Vietnam,12855,3
Czech Republic + Vietnam,12925,3
Tunisia + Vietnam,3030,3
Jordan + Vietnam,3525,3
Sri Lanka + Vietnam,3380,3
Qatar + Vietnam,266510,3
Angola + Vietnam,2680,3
Mauritius + Vietnam,7085,3
Belarus + Vietnam,4670,3
Germany + Uzbekistan,24020,3
Germany + Oman,30940,3
Germany + Nepal,23710,3
Germany + Guatemala,25445,3
Germany + Macau,27490,3
Germany + Saint Kitts and Nevis,31985,3
Germany + Haiti,23655,3
Albania + Germany,26215,3
Germany + New Zealand,43390,3
Bermuda + Germany,84050,3
Germany + Grenada,27975,3
Germany + Luxembourg,78635,3
Germany + Guernsey,49775,3
Germany + Rwanda,23575,3
Congo (Kinshasa) + Germany,23460,3
Germany + Zambia,23825,3
Estonia + Germany,34925,3
Germany + Guyana,25815,3
Croatia + South Korea,23945,3
Croatia + Mexico,12215,3
Algeria + Croatia,9595,3
Croatia + Ukraine,9430,3
Croatia + Jordan,9790,3
Croatia + Romania,13980,3
Croatia + Jersey,34775,3
Croatia + Mauritius,13350,3
Antigua and Barbuda + Austria,35090,3
Austria + Pakistan,26220,3
Austria + Brunei,40445,3
Austria + Indonesia,27515,3
Armenia + Austria,27780,3
Austria + Jamaica,28135,3
Austria + Trinidad and Tobago,33835,3
Austria + Tajikistan,26040,3
Austria + Bahrain,36650,3
Albania + Austria,28580,3
Austria + Barbados,34810,3
Austria + Luxembourg,81000,3
Austria + Jersey,52735,3
Austria + Ethiopia,25965,3
Austria + Estonia,37290,3
Bahamas + Morocco,17130,3
Bahamas + Belgium,38565,3
Aruba + Bahamas,32240,3
Bahamas + Venezuela,16650,3
Bahamas + Martinique,27630,3
Bahamas + Saint Lucia,20685,3
Bahamas + South Korea,31865,3
Bahamas + Israel,37260,3
Bahamas + Costa Rica,21510,3
Bahamas + Ireland,54250,3
Bahamas + Chile,24055,3
Bahamas + Denmark,46035,3
Bahamas + Haiti,15980,3
Bahamas + Jordan,17710,3
Bahamas + Bermuda,76375,3
Bahamas + Cayman Islands,68175,3
Bahamas + El Salvador,17630,3
Aruba + Netherlands,43300,3
Guadeloupe + Netherlands,37930,3
Martinique + Netherlands,38690,3
Netherlands + Saint Lucia,31745,3
Netherlands + Oman,34325,3
Nepal + Netherlands,27095,3
Netherlands + Pakistan,27240,3
Macau + Netherlands,30875,3
Netherlands + Uruguay,35080,3
Netherlands + Paraguay,29525,3
Armenia + Netherlands,28800,3
Haiti + Netherlands,27040,3
Netherlands + Tajikistan,27060,3
Netherlands + Puerto Rico,49165,3
Bolivia + Netherlands,28355,3
Netherlands + New Zealand,46775,3
Bermuda + Netherlands,87435,3
Luxembourg + Netherlands,82020,3
Jersey + Netherlands,53755,3
Congo (Kinshasa) + Netherlands,26845,3
Netherlands + Zimbabwe,27290,3
Estonia + Netherlands,38310,3
Botswana + Netherlands,30330,3
Morocco + Venezuela,2740,3
Guadeloupe + Morocco,12960,3
Martinique + Morocco,13720,3
Morocco + Saint Lucia,6775,3
Morocco + Tanzania,2160,3
Chile + Morocco,10145,3
Armenia + Morocco,3830,3
Morocco + Tajikistan,2090,3
Bermuda + Morocco,62465,3
El Salvador + Morocco,3720,3
Luxembourg + Morocco,57050,3
Central African Republic + Morocco,1830,3
Morocco + Zambia,2240,3
Maldives + Morocco,6515,3
Belgium + Venezuela,24175,3
Belgium + Guadeloupe,34395,3
Belgium + Martinique,35155,3
Belgium + Saint Lucia,28210,3
Belgium + Panama,30790,3
Belgium + Tanzania,23595,3
Belgium + Chile,31580,3
Bahrain + Belgium,34135,3
Belgium + Sri Lanka,25090,3
Albania + Belgium,26065,3
Belgium + Bermuda,83900,3
Belgium + El Salvador,25155,3
Belgium + Luxembourg,78485,3
Belgium + Jersey,50220,3
Belgium + Rwanda,23425,3
Belgium + Central African Republic,23265,3
Belgium + Gabon,26875,3
Belgium + Mauritania,23685,3
Belgium + Equatorial Guinea,27975,3
Belgium + Zambia,23675,3
Turkey + Uzbekistan,5350,3
Antigua and Barbuda + Turkey,14055,3
Argentina + Turkey,9480,3
Brunei + Turkey,19410,3
Jamaica + Turkey,7100,3
Trinidad and Tobago + Turkey,12800,3
Kyrgyzstan + Turkey,5185,3
Bahrain + Turkey,15615,3
Sri Lanka + Turkey,6570,3
Albania + Turkey,7545,3
Barbados + Turkey,13775,3
Luxembourg + Turkey,59965,3
Jersey + Turkey,31700,3
Estonia + Turkey,16255,3
Antigua and Barbuda + Aruba,26250,3
Aruba + Martinique,28830,3
Aruba + Guatemala,18970,3
Aruba + Bolivia,18495,3
Aruba + Barbados,25970,3
South Korea + Venezuela,17475,3
Israel + Venezuela,22870,3
India + Venezuela,2190,3
Greece + Venezuela,11315,3
Ireland + Venezuela,39860,3
Portugal + Venezuela,12650,3
Honduras + Venezuela,2340,3
Denmark + Venezuela,31645,3
Haiti + Venezuela,1590,3
Jordan + Venezuela,3320,3
Barbados + Venezuela,10380,3
Georgia + Uzbekistan,3040,3
Antigua and Barbuda + South Korea,25875,3
Antigua and Barbuda + India,10590,3
Antigua and Barbuda + Argentina,14485,3
Antigua and Barbuda + Costa Rica,15520,3
Algeria + Antigua and Barbuda,11525,3
Antigua and Barbuda + Greece,19715,3
Antigua and Barbuda + Portugal,21050,3
Antigua and Barbuda + Poland,17360,3
Antigua and Barbuda + Haiti,9990,3
Antigua and Barbuda + Bermuda,70385,3
Antigua and Barbuda + Grenada,14310,3
Antigua and Barbuda + Guyana,12150,3
Dominica + Guadeloupe,15275,3
Guadeloupe + Saint Lucia,16515,3
Guadeloupe + South Korea,27695,3
Guadeloupe + Israel,33090,3
Argentina + Guadeloupe,16305,3
Guadeloupe + Mexico,15965,3
Costa Rica + Guadeloupe,17340,3
Guadeloupe + Ireland,50080,3
Guadeloupe + Saint Kitts and Nevis,20140,3
Chile + Guadeloupe,19885,3
Denmark + Guadeloupe,41865,3
Guadeloupe + Jordan,13540,3
Martinique + South Korea,28455,3
Israel + Martinique,33850,3
Costa Rica + Martinique,18100,3
Ireland + Martinique,50840,3
Chile + Martinique,20645,3
Denmark + Martinique,42625,3
Jamaica + Martinique,14685,3
Martinique + Trinidad and Tobago,20385,3
Haiti + Martinique,12570,3
Jordan + Martinique,14300,3
Barbados + Martinique,21360,3
Grenada + Martinique,16890,3
Dominica + Dominican Republic,7990,3
Dominican Republic + Saint Lucia,9230,3
Dominican Republic + Serbia,7810,3
Dominican Republic + Hungary,12765,3
Czech Republic + Dominican Republic,15655,3
Dominican Republic + Tunisia,5760,3
Dominican Republic + Nicaragua,5050,3
Dominican Republic + Saint Kitts and Nevis,12855,3
Dominican Republic + Honduras,5275,3
Dominican Republic + Moldova,6310,3
Dominican Republic + Romania,10445,3
Bulgaria + Dominican Republic,8920,3
Angola + Dominican Republic,5410,3
Dominica + Puerto Rico,26510,3
Saint Lucia + South Korea,21510,3
Israel + Saint Lucia,26905,3
Mexico + Saint Lucia,9780,3
Ireland + Saint Lucia,43895,3
Panama + Saint Lucia,12910,3
Denmark + Saint Lucia,35680,3
Jordan + Saint Lucia,7355,3
Bermuda + Saint Lucia,66020,3
Grenada + Saint Lucia,9945,3
Guyana + Saint Lucia,7785,3
Nepal + South Korea,16860,3
Cuba + South Korea,20770,3
Pakistan + South Korea,17005,3
South Korea + Tunisia,18040,3
Panama + South Korea,24090,3
Chile + South Korea,24880,3
Georgia + South Korea,18560,3
Guam + South Korea,34355,3
Jamaica + South Korea,18920,3
South Korea + Trinidad and Tobago,24620,3
South Korea + Tajikistan,16825,3
Iran + South Korea,19045,3
Libya + South Korea,19970,3
Moldova + South Korea,18590,3
Romania + South Korea,22725,3
Bahrain + South Korea,27435,3
New Zealand + South Korea,36540,3
Bermuda + South Korea,77200,3
Barbados + South Korea,25595,3
Luxembourg + South Korea,71785,3
Ethiopia + South Korea,16750,3
Bangladesh + Israel,22785,3
Israel + Tunisia,23435,3
Israel + Panama,29485,3
Chile + Israel,30275,3
Armenia + Israel,23960,3
Iran + Israel,24440,3
Israel + Libya,25365,3
Israel + Kuwait,38560,3
Albania + Israel,24760,3
Bermuda + Israel,82595,3
Israel + Luxembourg,77180,3
Angola + Israel,23085,3
Israel + Mauritius,27490,3
Israel + Maldives,26645,3
Bangladesh + Mexico,5660,3
Bangladesh + Pakistan,1705,3
Bangladesh + Ireland,39775,3
Bangladesh + Portugal,12565,3
Bangladesh + Czech Republic,12635,3
Bangladesh + Tajikistan,1525,3
Bangladesh + Iran,3745,3
Bangladesh + Ukraine,2875,3
Bangladesh + Jordan,3235,3
Bangladesh + Malta,16525,3
Angola + Bangladesh,2390,3
Bangladesh + Lebanon,5260,3
Bangladesh + Mauritius,6795,3
Bangladesh + Belarus,4380,3
Cuba + India,5485,3
Afghanistan + India,1335,3
India + Panama,8805,3
Guam + India,19070,3
India + Jamaica,3635,3
India + Trinidad and Tobago,9335,3
India + Kazakhstan,5535,3
India + New Zealand,21255,3
Barbados + India,10310,3
India + Luxembourg,56500,3
India + Rwanda,1440,3
India + Lithuania,10705,3
Congo (Kinshasa) + India,1325,3
India + Zimbabwe,1770,3
Kuwait + Oman,24565,3
Bahrain + Oman,18835,3
Oman + Qatar,272920,3
Argentina + Hungary,13655,3
Argentina + Czech Republic,16545,3
Argentina + Honduras,6165,3
Argentina + South Africa,7880,3
Argentina + Ukraine,6785,3
Argentina + Moldova,7200,3
Argentina + Romania,11335,3
Argentina + Qatar,270130,3
Argentina + Bulgaria,9810,3
Argentina + Luxembourg,60395,3
Argentina + Malta,20435,3
Argentina + Lebanon,9170,3
Mexico + Serbia,8360,3
Mexico + Tunisia,6310,3
Georgia + Mexico,6830,3
Haiti + Mexico,5075,3
Mexico + Ukraine,6445,3
Bermuda + Mexico,65470,3
Luxembourg + Mexico,60055,3
Malta + Mexico,20095,3
Lebanon + Mexico,8830,3
Mauritius + Mexico,10365,3
Maldives + Mexico,9520,3
Cuba + Guatemala,6675,3
Guatemala + Puerto Rico,24835,3
Bolivia + Guatemala,4025,3
Cuba + Serbia,8170,3
Cuba + Hungary,13125,3
Cuba + Georgia,6640,3
Armenia + Cuba,6645,3
Cuba + Romania,10805,3
Cuba + Qatar,269600,3
Bulgaria + Cuba,9280,3
Bolivia + Cuba,6200,3
Barbados + Cuba,13675,3
Angola + Cuba,5770,3
Costa Rica + Uruguay,14490,3
Costa Rica + Paraguay,8935,3
Costa Rica + Jamaica,8565,3
Costa Rica + Trinidad and Tobago,14265,3
Costa Rica + Haiti,6450,3
Brunei + Pakistan,15545,3
Serbia + Tunisia,5440,3
Georgia + Serbia,5960,3
Jordan + Serbia,5935,3
Malta + Serbia,19225,3
Lithuania + Serbia,13390,3
Algeria + Armenia,4215,3
Algeria + Jamaica,4570,3
Algeria + Trinidad and Tobago,10270,3
Algeria + Kazakhstan,6470,3
Algeria + Iran,4695,3
Algeria + Uganda,2365,3
Algeria + Barbados,11245,3
Algeria + Luxembourg,57435,3
Algeria + Congo (Kinshasa),2260,3
Algeria + Mauritania,2635,3
Armenia + Greece,12405,3
Greece + Jamaica,12760,3
Greece + Trinidad and Tobago,18460,3
Greece + Tajikistan,10665,3
Greece + Kazakhstan,14660,3
Bahrain + Greece,21275,3
Albania + Greece,13205,3
Greece + Uganda,10555,3
Barbados + Greece,19435,3
Greece + Luxembourg,65625,3
Greece + Jersey,37360,3
Greece + Maldives,15090,3
Estonia + Greece,21915,3
Hungary + Tunisia,10395,3
Armenia + Hungary,10920,3
Hungary + Qatar,273875,3
Albania + Hungary,11720,3
Hungary + Luxembourg,64140,3
Hungary + Jersey,35875,3
Hungary + Mauritius,14450,3
Estonia + Hungary,20430,3
Ireland + Tanzania,39280,3
Chile + Ireland,47265,3
Albania + Ireland,41750,3
Bermuda + Ireland,99585,3
El Salvador + Ireland,40840,3
Ireland + Luxembourg,94170,3
Guernsey + Ireland,65310,3
Ireland + Jersey,65905,3
Ireland + Maldives,43635,3
Panama + Portugal,19265,3
Portugal + Tanzania,12070,3
Jamaica + Portugal,14095,3
Portugal + Trinidad and Tobago,19795,3
Barbados + Portugal,20770,3
Luxembourg + Portugal,66960,3
Jersey + Portugal,38695,3
Congo (Brazzaville) + Portugal,12560,3
Portugal + Zambia,12150,3
Maldives + Portugal,16425,3
Czech Republic + South Africa,14515,3
Czech Republic + Kazakhstan,16065,3
Czech Republic + Iran,14290,3
Czech Republic + Libya,15215,3
Czech Republic + Kuwait,28410,3
Albania + Czech Republic,14610,3
Czech Republic + Luxembourg,67030,3
Czech Republic + Jersey,38765,3
Angola + Czech Republic,12935,3
Czech Republic + Maldives,16495,3
Czech Republic + Estonia,23320,3
Georgia + Tunisia,3910,3
Armenia + Tunisia,3915,3
Tunisia + Ukraine,3525,3
Romania + Tunisia,8075,3
Qatar + Tunisia,266870,3
Bulgaria + Tunisia,6550,3
Malta + Tunisia,17175,3
Angola + Tunisia,3040,3
Mauritius + Tunisia,7445,3
Armenia + Poland,10050,3
Jamaica + Poland,10405,3
Poland + Trinidad and Tobago,16105,3
Kazakhstan + Poland,12305,3
Libya + Poland,11455,3
Kuwait + Poland,24650,3
Albania + Poland,10850,3
Barbados + Poland,17080,3
Luxembourg + Poland,63270,3
Jersey + Poland,35005,3
Estonia + Poland,19560,3
Panama + South Africa,10670,3
Jordan + Panama,9935,3
Panama + Turks and Caicos Islands,22730,3
Cayman Islands + Panama,60400,3
Grenada + Panama,12525,3
Angola + Panama,9090,3
Guyana + Panama,10365,3
Denmark + Tanzania,31065,3
Qatar + Tanzania,265725,3
Tanzania + Zambia,1180,3
